Area Code,Date,Market,Market Size,Product,Product Line,Product Type,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Marketing,Profit,Sales,Total Expenses,Order Date,Customer Name,City,Promo Code,Full Product
719,40909,Central,Major Market,Amaretto,Beans,Coffee,Colorado,Regular,90,130,100,220,89,777,130,24,94,219,36,2012-01-01,  john   doe ,new york,SAVE10,Beans - Amaretto
970,40909,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,80,110,80,190,83,623,107,27,68,190,39,2012-01-01,MARY ann,DELHI,,Beans - Colombian
970,40909,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Colorado,Decaf,100,140,110,240,95,821,139,26,101,234,38,2012-01-01,roBERT  SMITH,LoNDoN,,Beans - Decaf Irish Cream
303,40909,Central,Major Market,Green Tea,Leaves,Tea,Colorado,Regular,30,50,30,80,44,623,56,14,30,100,26,2012-01-01, alice ,sydney,,Leaves - Green Tea
303,40909,Central,Major Market,Caffe Mocha,Beans,Espresso,Colorado,Regular,60,90,70,150,54,456,80,15,54,134,26,2012-01-01,,new york,,Beans - Caffe Mocha
720,40909,Central,Major Market,Decaf Espresso,Beans,Espresso,Colorado,Decaf,80,130,80,210,72,558,108,23,53,180,55,2012-01-01,  john   doe ,DELHI,,Beans - Decaf Espresso
970,40909,Central,Major Market,Chamomile,Leaves,Herbal Tea,Colorado,Decaf,140,160,110,300,170,1091,171,47,99,341,72,2012-01-01,MARY ann,LoNDoN,SAVE10,Leaves - Chamomile
719,40909,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Decaf,50,80,20,130,63,435,87,57,0,150,87,2012-01-01,roBERT  SMITH,sydney,,Leaves - Lemon
970,40909,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Decaf,50,70,40,120,60,336,80,19,33,140,47,2012-01-01, alice ,new york,,Leaves - Mint
719,40909,Central,Major Market,Darjeeling,Leaves,Tea,Colorado,Regular,40,70,20,110,58,338,72,22,17,130,55,2012-01-01,,DELHI,,Leaves - Darjeeling
303,40909,Central,Major Market,Earl Grey,Leaves,Tea,Colorado,Regular,50,70,40,120,64,965,76,19,36,140,40,2012-01-01,  john   doe ,LoNDoN,,Leaves - Earl Grey
